,Location,Tweet
0,,"@ArvindKejriwal @abhisar_sharma @DrKumarVishwas @KapilMishra_IND @RiseofBurnol 

SOS
Urgently required cyclinder or… https://t.co/Mag0O3gVVj"
1,"Bengaluru, India","@ANI For a gangster bed is available, but not for poor ppls....... shame"
2, INDIA,oxygen bed available nearby delhi https://t.co/6C3h3e5znS
3,"Cambridge, MA","Cambridge 5 Bed 2 Bath CAMBRIDGE Central Square/cambridgeport - $5,135: A MUST SEE! Beautiful 5 bed 2 bath in Cambr… https://t.co/vVZbl7eJGn"
4,"Guntur, India","https://t.co/nuFzfQpSQM - check here

Oxygen bed available in GGH, Guntur.
 
#CovidHelp"
5,UNKNOWN,"@Aasthagupta91 @gupta_anju9 @KushaKapila @Samdish @fayedsouza @BDUTT @thevirdas Verified by some one else.

Beds av… https://t.co/gRG7YczBQY"
6,"New Delhi, India","@Harjeet62673938 @LicypriyaK No icu is available in delhi ncr as of now,only alternative like oxygen bed at Radha Soami satsang Beas etc"
7,"Bengaluru, India",@ANI So there's a bed available for him😀
8,USA and India ,"Thank you all. Got some lead in Delhi via Sewa Bharti.   However, WB is a different challenge - despite bed data av… https://t.co/ZbaN92agy4"
9,covid resources in the thread,"#Delhi #Bed

According to CROWNE PLAZA DELHI OKHLA, NON OXYGEN Covid Beds are currently available. Patient must hav… https://t.co/IFYKmjttLG"
10,India,"#CovidSOS #covidhelp #bed #available
#nashik

Normals Beds available at 
-Dr Zakir Hussain NMC Hospital, Nashik
-Lo… https://t.co/LRdSIXbyU4"
11,India,"Verified | Delhi | Status of Bed Availability till 10:30 AM, 27th April 2021. 

Pl. also check availability here… https://t.co/kQqOpNmDya"
12,"Bengaluru, India","Verified Information 27th April 1 PM

1 Oxygen Bed available at Dr Babar surgical nursing 
Contact Number: 9923796471

#NagpurSOS #Nagpur"
13,,@pyunit @Ashok_Kashmir @srinivasiyc No one is picking phon all are busy Pl do something at present admitted to tygi… https://t.co/vrDE1w8V4j
14,India,"#CovidSOS #covidhelp #bed #available
#pune

Beds available at Wipro hospital Hinjewadi
Patient has to take his Repo… https://t.co/daYKqSmxmi"
15,"Bengaluru, India","@YogiAdityaKRT
Dear Sir,
I m in great need of one bed for my Nanaji who is 80+ years and no bed is available for hi… https://t.co/W5VJW5V9CM"
16,"Lucknow, India","#Beds AVAILABLE ‼
Normal beds = 40
Oxygen bed = 1
At S.R Memorial Hospital, Gwalior M.P
Contact - 9424561369… https://t.co/EL45CIuOnO"
17,"Boston, MA","East Boston Apartment for rent 3 Bedrooms 1 Bath Boston - $2,400: This nice 3 Bed 1 Bath place in the BOSTON - EAST… https://t.co/L4HRLXwvKs"
18,"Bengaluru, India","@dmjhansi1
Dear Sir,
I m in great need of one bed for my Nanaji who is 80+ years and no bed is available for him in… https://t.co/C280fNZsz0"
19,NOIDA,@OfficialGNIDA @DeptGbn @ANINewsUP @CMOfficeUP @PMOIndia #only one answer from help desk no bed is available plz help me 9818227315
